FIPS,Socioeconomic,Housing - Disability,Minority Status - Language,Housing - Transportation,SVI INDEX
48201540601,0.2177,0.0308,0.5714,0.0512,0.0764
48201540602,0.5636,0.4369,0.7055,0.2817,0.5004
48201540700,0.3146,0.0678,0.6854,0.4444,0.3225
48201540800,0.6221,0.3217,0.7688,0.5199,0.5958
48201540901,0.1709,0.1213,0.27899999999999997,0.1052,0.0935
48201540902,0.3213,0.2098,0.4476,0.3387,0.2908
48201541001,0.3967,0.2512,0.6368,0.2999,0.371
48201541002,0.1778,0.2991,0.5582,0.2746,0.2576
48201541003,0.2175,0.2006,0.4066,0.0391,0.1048
48201541100,0.2849,0.1711,0.3764,0.0242,0.096
48201541201,0.0932,0.1493,0.3657,0.209,0.1351
48201541202,0.4402,0.2422,0.4623,0.6404,0.4532
48201541203,0.0102,0.1694,0.036000000000000004,0.0509,0.0144
48201541300,0.6708,0.3824,0.7679,0.2942,0.5631
48201541400,0.3462,0.2623,0.7413,0.3408,0.3971
48201541500,0.4786,0.2568,0.6695,0.0576,0.2829
48201541601,0.314,0.1724,0.3023,0.1829,0.201
48201541602,0.5753,0.39799999999999996,0.7097,0.5133,0.5791
48201541700,0.324,0.0973,0.5785,0.32299999999999995,0.2797
48201541800,0.531,0.1878,0.5427,0.3308,0.3962
48201541900,0.2618,0.0389,0.5555,0.2944,0.1996
48201542000,0.2595,0.2242,0.5344,0.01,0.1017
48201542101,0.5774,0.3482,0.7312,0.1149,0.4142
48201542102,0.5179,0.4579,0.6372,0.1524,0.4138
48201542200,0.325,0.3119,0.7754,0.1785,0.342
48201542301,0.555,0.1723,0.6674,0.0988,0.32
48201542302,0.4617,0.3742,0.6473,0.2082,0.4019
48201542400,0.5385,0.3024,0.7382,0.8273,0.6428
48201542500,0.0652,0.3269,0.0861,0.2539,0.1255
48201542600,0.1373,0.1171,0.5258,0.032,0.0722
48201542700,0.4055,0.4844,0.5448,0.6089,0.5067
48201542800,0.3336,0.3619,0.4072,0.2238,0.2887
48201542900,0.3971,0.2734,0.6139,0.2433,0.3474
48201543001,0.0721,0.1073,0.4018,0.0438,0.047
48201543002,0.1078,0.1761,0.389,0.1382,0.1236
48201543003,0.4506,0.2746,0.7652,0.1737,0.3835
48201543100,0.4569,0.4968,0.6914,0.7427,0.61
48201543200,0.4984,0.2002,0.6757,0.6124,0.5107
48201550100,0.8928,0.5999,0.8829,0.9975,0.9729
48201550200,0.9014,0.5103,0.8299,0.9023,0.8912
48201550301,0.5828,0.5375,0.7974,0.7832,0.7054
48201550302,0.672,0.5727,0.7421,0.6342,0.6914
48201550401,0.8387,0.5484,0.8919,0.9518,0.91
48201550402,0.3986,0.2874,0.7847,0.5696,0.5121
48201550500,0.5548,0.3171,0.89,0.8515,0.6983
48201550601,0.5212,0.3267,0.8431,0.043,0.3426
48201550602,0.7159,0.4537,0.8741,0.1971,0.5873
