,FIPS,year,population,poverty-rate,median-household-income,median-property-value,evictions,eviction-rate
40317,48029171913,2016,5547.0,26.25,41607.0,90200.0,19.0,2.74
40334,48029171914,2016,5652.0,12.93,60864.0,106200.0,6.0,1.65
40351,48029171915,2016,2303.0,6.69,71692.0,109400.0,3.0,1.94
40368,48029171916,2016,7830.0,8.94,66991.0,152500.0,19.0,2.52
40385,48029171917,2016,9982.0,6.34,74828.0,146300.0,9.0,1.58
40402,48029171918,2016,6172.0,3.81,77846.0,152300.0,27.0,2.58
40419,48029171919,2016,4194.0,13.57,56844.0,126800.0,18.0,5.79
40436,48029171920,2016,8852.0,18.95,60813.0,104500.0,19.0,3.17
40453,48029171921,2016,5299.0,12.31,58521.0,92300.0,17.0,2.81
40470,48029171922,2016,3409.0,3.22,64821.0,111600.0,7.0,2.94
40487,48029171923,2016,10278.0,5.53,58288.0,123300.0,74.0,3.91
40504,48029171924,2016,5533.0,5.22,79435.0,229200.0,22.0,1.54
40521,48029171925,2016,9700.0,6.62,67934.0,141200.0,15.0,1.32
40538,48029172002,2016,10857.0,2.77,72307.0,165900.0,56.0,3.32
40555,48029172003,2016,6027.0,3.26,80833.0,164400.0,5.0,0.9
40572,48029172004,2016,3951.0,6.87,81731.0,258000.0,1.0,0.59
40589,48029172005,2016,6688.0,6.38,90000.0,243500.0,10.0,1.22
40606,48029172006,2016,7751.0,2.7,93884.0,194600.0,6.0,1.74
40623,48029172007,2016,10590.0,3.36,91501.0,186000.0,7.0,1.13
40640,48029180101,2016,5012.0,14.52,45064.0,121900.0,15.0,2.52
40657,48029180102,2016,1924.0,16.0,41548.0,120800.0,6.0,1.59
40674,48029180201,2016,4616.0,25.24,31069.0,67100.0,121.0,10.47
40691,48029180202,2016,4879.0,16.94,27305.0,106200.0,101.0,6.33
40708,48029180300,2016,4291.0,28.02,33618.0,85000.0,47.0,7.11
40725,48029180400,2016,4488.0,34.8,26598.0,87200.0,20.0,2.03
40742,48029180501,2016,4918.0,22.85,24575.0,92700.0,80.0,6.77
40759,48029180503,2016,4640.0,22.03,44464.0,90500.0,14.0,4.75
40776,48029180504,2016,4782.0,29.56,35472.0,75300.0,13.0,2.84
40793,48029180602,2016,3356.0,19.07,36156.0,121300.0,8.0,1.15
40810,48029180603,2016,2025.0,27.39,44904.0,122200.0,0.0,0.0
40827,48029180604,2016,6387.0,17.29,44576.0,128800.0,50.0,4.69
40844,48029180701,2016,3711.0,11.98,44318.0,276600.0,83.0,5.92
40861,48029180702,2016,7300.0,12.21,34076.0,117200.0,80.0,3.38
40878,48029180800,2016,2349.0,25.0,26788.0,104800.0,90.0,8.35
40895,48029180901,2016,5519.0,14.65,44158.0,92900.0,4.0,0.6
40912,48029180902,2016,7419.0,14.77,40799.0,86700.0,69.0,6.81
40929,48029181001,2016,4285.0,22.16,51731.0,116400.0,50.0,8.99
40946,48029181003,2016,6467.0,25.27,40428.0,87000.0,124.0,4.61
40963,48029181004,2016,5285.0,8.64,41106.0,147300.0,61.0,2.43
40980,48029181005,2016,4028.0,27.94,29074.0,108200.0,105.0,5.88
40997,48029181100,2016,6214.0,10.01,56705.0,163300.0,11.0,1.14
41014,48029181200,2016,4610.0,9.83,65365.0,184800.0,9.0,1.56
41031,48029181301,2016,4541.0,8.02,50120.0,178600.0,49.0,2.91
41048,48029181302,2016,6269.0,17.17,44355.0,143900.0,37.0,1.54
